IdealT,OtsuT,KittlerT,LloydT,SungT,RidlerT,HuangT,RameshT,Li1T,Li2T,BrinkT,KapurT,SahooT,ShanbhagT,YenT,TsaiT
0.2980392,0.558824,0.75098,0.003922,0.64902,0.567605,0.735294,0.464706,0.508168,0.535294,0.398039,0.405882,0.461981,0.44902,0.488235,0.456863
0.509804,0.57451,0.727451,0.339461,0.664706,0.576432,0.605882,0.558824,0.517472,0.543137,0.590196,0.688235,0.686387,0.221569,0.707843,0.547059
0.2901961,0.55098,0.743137,0.470686,0.754902,0.549584,0.880392,0.613725,0.484836,0.515686,0.633333,0.743137,0.741887,0.637255,0.743137,0.707843
0.3647059,0.472549,0.652941,0.003922,0.535294,0.474722,0.511765,0.488235,0.409854,0.441176,0.480392,0.547059,0.540276,0.217647,0.598039,0.441176
0.8588235,0.856863,0.731373,0.697952,0.856863,0.85847,0.864706,0.660784,0.858108,0.856863,0.715686,0.829412,0.829412,0.856863,0.829412,0.852941
0,0.233333,0.005882,0.004933,0.237255,0.238322,0.237255,0.601961,0.210059,0.22549,0.362745,0.637255,0.609818,0.276471,0.645098,0.233333
0.227451,0.652941,0.994118,0.696111,0.798039,0.653771,0.801961,0.284314,0.595321,0.617647,0.280392,0.24902,0.258768,0.154902,0.237255,0.44902
0.6745098,0.554902,0.707843,0.35583,0.629412,0.556405,0.554902,0.55098,0.509934,0.531373,0.590196,0.703922,0.708777,0.303922,0.723529,0.539216
0.5254902,0.617647,0.982353,0.406525,0.747059,0.619971,0.915686,0.621569,0.540782,0.566667,0.782353,0.864706,0.831596,0.264706,0.864706,0.601961
0.2509804,0.272549,0.315686,0.222484,0.307843,0.275486,0.401961,0.57451,0.254885,0.264706,0.366667,0.339216,0.342611,0.17451,0.343137,0.347059
0.654902,0.801961,0.935294,0.747486,0.880392,0.801984,0.778431,0.531373,0.790222,0.794118,0.609804,0.9,0.931849,0.837255,0.939216,0.868627
0.4156863,0.547059,0.398039,0.356763,0.562745,0.55149,0.590196,0.378431,0.54397,0.539216,0.417647,0.441176,0.444522,0.554902,0.437255,0.519608
0.08235294,0.139216,0.064706,0.031373,0.143137,0.14422,0.154902,0.268627,0.140453,0.139216,0.241176,0.107843,0.11212,0.143137,0.092157,0.135294
0.05098039,0.366667,0.111765,0.281708,0.001961,0.36727,0.366667,0.633333,0.2258,0.311765,0.613725,0.829412,0.829459,0.719608,0.841176,0.601961
0.8745098,0.633333,0.990196,0.482241,0.778431,0.637828,0.958824,0.637255,0.537182,0.578431,0.782353,0.876471,0.869022,0.198039,0.876471,0.656863
0,0.354902,0.005882,0.079437,0.378431,0.359992,0.429412,0.715686,0.159694,0.319608,0.358824,0.766667,0.747071,0.456863,0.77451,0.339216
0.3294118,0.801961,0.82549,0.512303,0.84902,0.812288,0.884314,0.582353,0.798397,0.790196,0.645098,0.637255,0.648289,0.57451,0.64902,0.747059
0.7921569,0.578431,0.962745,0.37205,0.676471,0.584085,0.841176,0.605882,0.478614,0.527451,0.743137,0.794118,0.81631,0.233333,0.837255,0.707843
0.7843137,0.562745,0.962745,0.388376,0.986275,0.565128,0.786275,0.594118,0.433537,0.492157,0.747059,0.986275,0.947497,0.056863,0.986275,0.503922
0.5960785,0.629412,0.672549,0.53934,0.660784,0.632652,0.641176,0.378431,0.62403,0.62549,0.445098,0.656863,0.669059,0.543137,0.676471,0.637255
0.945098,0.711765,0.986275,0.60312,0.884314,0.713339,0.880392,0.676471,0.657922,0.668627,0.801961,0.95098,0.93068,0.468627,0.95098,0.715686
0.2666667,0.535294,0.731373,0.44515,0.731373,0.537219,0.884314,0.613725,0.468336,0.5,0.629412,0.739216,0.741303,0.637255,0.743137,0.688235
0.6784314,0.680392,0.731373,0.633767,0.731373,0.720846,0.747059,0.460784,0.719728,0.680392,0.55098,0.696078,0.695609,0.57451,0.696078,0.7
0.6078432,0.652941,0.652941,0.579497,0.660784,0.65308,0.672549,0.460784,0.651515,0.652941,0.511765,0.613725,0.613725,0.582353,0.613725,0.637255
0.7333333,0.668627,0.907843,0.46213,0.821569,0.672251,0.841176,0.590196,0.603677,0.629412,0.609804,0.727451,0.730687,0.35098,0.743137,0.672549
0.2901961,0.496078,0.390196,0.418374,0.605882,0.497935,0.817647,0.578431,0.427188,0.456863,0.621569,0.62549,0.628897,0.55098,0.629412,0.680392
0.03137255,0.115686,0.080392,0.356863,0.103922,0.113982,0.088235,0.358824,0.105116,0.111765,0.256863,0.162745,0.153699,0.127451,0.15098,0.123529
0.8431373,0.578431,0.994118,0.396673,0.798039,0.57895,0.547059,0.578431,0.464987,0.519608,0.731373,0.052941,0.052941,0.009804,0.052941,0.480392
0.1529412,0.515686,0.429412,0.635507,0.464706,0.513877,0.684314,0.5,0.455485,0.480392,0.296078,0.327451,0.317497,0.233333,0.315686,0.323529
0.2078431,0.535294,0.684314,0.679003,0.57451,0.534907,0.719608,0.531373,0.489885,0.511765,0.323529,0.343137,0.317187,0.280392,0.276471,0.378431
0.8666667,0.841176,0.919608,0.782896,0.892157,0.842753,0.84902,0.480392,0.837844,0.837255,0.668627,0.876471,0.875059,0.515686,0.884314,0.821569
0,0.601961,0.005882,0.224599,0.613725,0.612255,0.64902,0.452941,0.601053,0.303922,0.460784,0.484314,0.598869,0.621569,0.621569,0.519608
0,0.229412,0.005882,0.568886,0.229412,0.225504,0.22549,0.590196,0.222162,0.22549,0.347059,0.62549,0.60197,0.237255,0.64902,0.229412
0.6039216,0.629412,0.633333,0.583828,0.688235,0.678429,0.707843,0.413725,0.677638,0.62549,0.5,0.645098,0.645098,0.535294,0.645098,0.660784
0,0.562745,0.621569,0.262036,0.641176,0.562636,0.688235,0.543137,0.410111,0.503922,0.578431,0.672549,0.7112,0.747059,0.731373,0.594118
0.6156863,0.786275,0.860784,0.843893,0.809804,0.786421,0.852941,0.370588,0.781013,0.782353,0.519608,0.511765,0.515665,0.676471,0.511765,0.707843
0.2,0.503922,0.590196,0.633752,0.519608,0.502709,0.209804,0.507843,0.468493,0.484314,0.347059,0.398039,0.395873,0.276471,0.394118,0.366667
0.1843137,0.190196,0.194118,0.113509,0.205882,0.191799,0.154902,0.531373,0.165379,0.182353,0.362745,0.245098,0.244517,0.162745,0.245098,0.252941
0.4392157,0.523529,0.472549,0.211525,0.55098,0.529039,0.55098,0.531373,0.455493,0.488235,0.519608,0.55098,0.561887,0.394118,0.570588,0.617647
0.6862745,0.723529,0.688235,0.618551,0.75098,0.732728,0.782353,0.413725,0.724117,0.723529,0.582353,0.676471,0.675822,0.641176,0.676471,0.739216
0.3411765,0.484314,0.35098,0.121561,0.503922,0.489723,0.503922,0.515686,0.39246,0.429412,0.480392,0.488235,0.492205,0.429412,0.5,0.582353
0.4627451,0.703922,0.817647,0.798689,0.719608,0.55335,0.496078,0.288235,0.550582,0.692157,0.386275,0.633333,0.623308,0.519608,0.621569,0.594118
0.6235294,0.55098,0.958824,0.362907,0.727451,0.550626,0.892157,0.62549,0.41409,0.484314,0.723529,0.888235,0.824775,0.088235,0.888235,0.621569
0.3372549,0.319608,0.370588,0.213594,0.370588,0.32068,0.323529,0.398039,0.265897,0.296078,0.405882,0.394118,0.397317,0.158824,0.398039,0.409804
0.6666667,0.507843,0.723529,0.295908,0.64902,0.509371,0.617647,0.558824,0.391255,0.445098,0.613725,0.743137,0.767534,0.707843,0.786275,0.523529
0.7215686,0.578431,0.766667,0.378871,0.668627,0.579532,0.633333,0.570588,0.530019,0.55098,0.609804,0.754902,0.745896,0.280392,0.770588,0.547059
