IdealT,OtsuT,KittlerT,LloydT,SungT,RidlerT,HuangT,RameshT,Li1T,Li2T,BrinkT,KapurT,SahooT,ShanbhagT,YenT,TsaiT
0.7411765,0.829412,0.735294,0.705255,0.837255,0.83377,0.84902,0.503922,0.831494,0.829412,0.676471,0.656863,0.676398,0.829412,0.656863,0.813725
0.7098039,0.7,0.778431,0.56851,0.735294,0.70124,0.719608,0.413725,0.683325,0.688235,0.44902,0.766667,0.773725,0.562745,0.794118,0.715686
0.4470588,0.543137,0.809804,0.253757,0.719608,0.547338,0.719608,0.562745,0.449368,0.492157,0.547059,0.586275,0.742671,0.358824,0.809804,0.55098
0.4078431,0.37451,0.37451,0.382638,0.37451,0.44785,0.692157,0.44902,0.405366,0.37451,0.543137,0.562745,0.562745,0.523529,0.562745,0.605882
0.2,0.523529,0.57451,0.632554,0.519608,0.521913,0.22549,0.515686,0.478717,0.5,0.339216,0.398039,0.369674,0.268627,0.366667,0.366667
0.02745098,0.382353,0.064706,0.254141,0.331373,0.383471,0.237255,0.684314,0.23513,0.319608,0.668627,0.884314,0.880394,0.758824,0.884314,0.645098
0.6313726,0.531373,0.794118,0.354036,0.731373,0.532106,0.511765,0.668627,0.435483,0.488235,0.64902,0.096078,0.099839,0.037255,0.096078,0.664706
0.6509804,0.62549,0.821569,0.407251,0.735294,0.629675,0.684314,0.547059,0.563122,0.598039,0.547059,0.790196,0.761016,0.268627,0.809804,0.586275
0.003921569,0.464706,0.013725,0.13913,0.488235,0.470047,0.507843,0.354902,0.449955,0.452941,0.362745,0.813725,0.794126,0.5,0.813725,0.413725
0.3882353,0.523529,0.762745,0.202326,0.652941,0.525075,0.641176,0.539216,0.432036,0.480392,0.558824,0.692157,0.708105,0.307843,0.77451,0.460784
0.2941177,0.382353,0.390196,0.14397,0.42549,0.384285,0.456863,0.437255,0.323966,0.354902,0.390196,0.401961,0.405006,0.280392,0.405882,0.417647
0.7960784,0.798039,0.758824,0.716559,0.805882,0.80691,0.821569,0.472549,0.806562,0.798039,0.660784,0.558824,0.617638,0.805882,0.55098,0.798039
0.1647059,0.158824,0.17451,0.122687,0.178431,0.160525,0.245098,0.5,0.144842,0.154902,0.307843,0.190196,0.190196,0.1,0.190196,0.205882
0.4823529,0.445098,0.484314,0.280366,0.476471,0.447057,0.421569,0.44902,0.403038,0.421569,0.456863,0.531373,0.525619,0.343137,0.535294,0.503922
0.2784314,0.554902,0.656863,0.019608,0.578431,0.33276,0.284314,0.562745,0.313048,0.319608,0.362745,0.484314,0.363087,0.268627,0.323529,0.421569
0.5137255,0.7,0.856863,0.214177,0.786275,0.703402,0.798039,0.480392,0.674312,0.684314,0.480392,0.480392,0.501202,0.311765,0.480392,0.617647
0.2392157,0.5,0.562745,0.629908,0.503922,0.500118,0.276471,0.523529,0.472251,0.484314,0.354902,0.445098,0.44249,0.319608,0.441176,0.394118
0.4862745,0.711765,0.809804,0.813439,0.743137,0.590237,0.758824,0.327451,0.594067,0.707843,0.421569,0.476471,0.484667,0.523529,0.488235,0.598039
0.6313726,0.633333,0.703922,0.421233,0.692157,0.633626,0.676471,0.547059,0.583265,0.605882,0.590196,0.715686,0.71218,0.405882,0.715686,0.692157
0.6196079,0.605882,0.794118,0.393906,0.715686,0.606852,0.64902,0.594118,0.553683,0.57451,0.664706,0.786275,0.763993,0.229412,0.805882,0.539216
0.3411765,0.503922,0.739216,0.148987,0.617647,0.505635,0.594118,0.523529,0.379152,0.437255,0.488235,0.55098,0.657278,0.37451,0.747059,0.476471
